RoleType, email, FirstName, LastName, UserName, TermsAndConditions, ReceiveEmailsDecision
Doctor,doctorcheck46@mailinator.com,naveen,kumar,doctorcheck46,true,NO
Patient,majormovie47@mailinator.com,majormovie,test,majormovie47,true,NO
Doctor,majormovie48@mailinator.com,majormovie,test,majormovie48,true,NO
Patient,healthreg700@mailinator.com,health,registration,healthreg700,true,NO
Doctor,doctorcheck47@mailinator.com,doctor,registration,doctorcheck47,true,NO
Patient,healthreg800@mailinator.com,health,registration,healthreg800,true,NO
Doctor,healthreg801@mailinator.com,health,registration,healthreg801,true,NO
Patient,healthreg701@mailinator.com,health,registration,healthreg701,true,NO
Doctor,doctorcheck048@mailinator.com,doctor,registration,doctorcheck048,true,NO
Patient,healthreg0801@mailinator.com,health,registration,healthreg0801,true,NO
Doctor,healthreg0802@mailinator.com,health,registration,healthreg0802,true,NO
Patient,healthreg701@mailinator.com,health,registration,healthreg701,true,NO
Doctor,doctorcheck048@mailinator.com,doctor,registration,doctorcheck048,true,NO
Patient,healthreg0801@mailinator.com,health,registration,healthreg0801,true,NO
Doctor,healthreg0802@mailinator.com,health,registration,healthreg0802,true,NO
Patient,healthregtest701@mailinator.com,health,registration,healthregtest701,true,NO
Doctor,doctorchecktest048@mailinator.com,doctor,registration,doctorchecktest048,true,NO
Patient,healthregtest0802@mailinator.com,health,registration,healthregtest0802,true,NO
Doctor,healthregtest0803@mailinator.com,health,registration,healthregtest0803,true,NO
Patient,healthdemopatientregister9@mailinator.com,health,registration,healthdemopatientregister9,true,NO
Doctor,healthdemodoctorregister10@mailinator.com,health,registration,healthdemodoctorregister10,true,NO
Patient,healthdemoregister11@mailinator.com,health,registration,healthdemoregister11,true,NO
Doctor,healthdemoregister12@mailinator.com,health,registration,healthdemoregister12,true,NO
Patient,healthdemopatientregister13@mailinator.com,health,registration,healthdemopatientregister13,true,NO
Doctor,healthdemodoctorregister14@mailinator.com,health,registration,healthdemodoctorregister14,true,NO
Patient,healthdemoregister15@mailinator.com,health,registration,healthdemoregister15,true,NO
Doctor,healthdemoregister16@mailinator.com,health,registration,healthdemoregister16,true,NO
Patient,healthdemopatientregister17@mailinator.com,health,registration,healthdemopatientregister17,true,NO
Doctor,healthdemodoctorregister18@mailinator.com,health,registration,healthdemodoctorregister18,true,NO
Patient,healthdemoregister19@mailinator.com,health,registration,healthdemoregister19,true,NO
Doctor,healthdemoregister20@mailinator.com,health,registration,healthdemoregister20,true,NO
Patient,healthdemopatientregister21@mailinator.com,health,registration,healthdemopatientregister21,true,NO
Doctor,healthdemodoctorregister22@mailinator.com,health,registration,healthdemodoctorregister22,true,NO
Patient,healthdemoregister23@mailinator.com,health,registration,healthdemoregister23,true,NO
Doctor,healthdemoregister24@mailinator.com,health,registration,healthdemoregister24,true,NO
Patient,healthdemopatientregister25@mailinator.com,health,registration,healthdemopatientregister25,true,NO
Doctor,healthdemodoctorregister26@mailinator.com,health,registration,healthdemodoctorregister26,true,NO
Patient,healthdemoregister27@mailinator.com,health,registration,healthdemoregister27,true,NO
Doctor,healthdemoregister28@mailinator.com,health,registration,healthdemoregister28,true,NO
Patient,healthdemopatientregister29@mailinator.com,health,registration,healthdemopatientregister29,true,NO
Doctor,healthdemodoctorregister30@mailinator.com,health,registration,healthdemodoctorregister30,true,NO
Patient,healthdemoregister31@mailinator.com,health,registration,healthdemoregister31,true,NO
Doctor,healthdemoregister32@mailinator.com,health,registration,healthdemoregister32,true,NO
